,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2014-11-21 11:19:00,T0450A,T0459,T0451A,T0458,T0453,T0460,T0451,X0451B,T0452A,X0451A,X0451F,X0451C,X0451D,X0451E,P0455
2014-11-21 11:20:00,T0450A,T0451A,T0453,T0451,T0460,T0458,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,P0455,X0451D
2014-11-21 11:21:00,T0450A,T0451A,T0451,T0458,T0459,T0460,T0453,X0451B,X0451A,T0452A,X0451C,X0451F,X0451E,P0455,X0451D
2014-11-21 11:22:00,T0450A,T0451A,T0458,T0459,T0453,T0460,T0451,X0451B,X0451A,T0452A,X0451F,X0451C,X0451E,P0455,X0451D
2014-11-21 11:23:00,T0450A,T0451A,T0458,T0459,T0453,T0460,T0451,X0451B,X0451A,T0452A,X0451F,X0451C,X0451E,P0455,X0451D
2014-11-21 11:24:00,T0450A,T0451A,T0453,T0460,T0459,T0451,X0451A,T0458,T0452A,X0451B,X0451F,P0455,X0451C,X0451E,X0451D
2014-11-21 11:25:00,T0450A,T0451A,T0458,T0459,T0453,T0460,T0451,X0451B,X0451A,X0451F,T0452A,X0451C,P0455,X0451E,X0451D
2014-11-21 11:26:00,T0450A,T0451A,T0458,T0459,T0453,T0460,T0451,X0451B,X0451A,X0451F,T0452A,X0451C,P0455,X0451E,X0451D
2014-11-21 11:27:00,T0450A,T0451A,T0451,T0459,T0453,T0460,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,P0455,X0451D,X0451E
2014-11-21 11:28:00,T0450A,T0459,T0458,T0451A,T0453,T0460,T0451,X0451B,T0452A,X0451A,X0451C,X0451F,X0451D,P0455,X0451E
2014-11-21 11:29:00,T0450A,T0459,T0458,T0451A,T0453,T0460,T0451,X0451B,T0452A,X0451A,X0451C,X0451F,X0451D,P0455,X0451E
2014-11-21 11:30:00,T0450A,T0451,T0459,T0458,T0460,T0453,T0451A,T0452A,X0451B,X0451A,P0455,X0451C,X0451E,X0451F,X0451D
2014-11-21 11:31:00,T0450A,T0451,T0459,T0458,T0460,T0453,T0451A,T0452A,X0451B,X0451A,P0455,X0451C,X0451E,X0451F,X0451D
2014-11-21 11:32:00,T0450A,T0451A,T0453,T0459,T0458,T0460,T0452A,X0451A,T0451,X0451F,X0451B,P0455,X0451C,X0451D,X0451E
2014-11-21 11:33:00,T0450A,T0451A,T0453,T0459,T0451,T0460,T0458,X0451A,T0452A,X0451F,X0451B,P0455,X0451C,X0451E,X0451D
2014-11-21 11:34:00,T0450A,T0451A,T0453,T0459,T0451,T0460,T0458,X0451A,T0452A,X0451F,X0451B,P0455,X0451C,X0451E,X0451D
2014-11-21 11:35:00,T0450A,T0451,T0460,T0451A,T0459,T0453,T0458,X0451A,T0452A,X0451F,X0451C,X0451B,X0451D,X0451E,P0455
2014-11-21 11:36:00,T0450A,T0451A,T0453,T0458,T0451,T0460,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,P0455,X0451E,X0451D
2014-11-21 11:37:00,T0450A,T0451A,T0453,T0458,T0451,T0460,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,P0455,X0451E,X0451D
2014-11-21 11:38:00,T0450A,T0451A,T0453,T0460,T0451,T0459,X0451A,X0451B,X0451F,T0452A,T0458,X0451C,P0455,X0451E,X0451D
2014-11-21 11:39:00,T0450A,T0451A,T0453,T0460,T0451,T0459,X0451A,X0451B,X0451F,T0452A,T0458,X0451C,P0455,X0451E,X0451D
2014-11-21 11:40:00,T0450A,T0451A,T0453,T0460,T0451,T0459,X0451A,X0451B,X0451F,T0452A,T0458,X0451C,P0455,X0451E,X0451D
2014-11-21 11:41:00,T0459,T0458,T0451,T0450A,T0451A,T0460,T0452A,X0451B,X0451D,T0453,X0451E,X0451C,X0451A,X0451F,P0455
2014-11-21 11:42:00,T0450A,T0451,T0459,T0460,T0458,T0453,T0451A,T0452A,X0451A,X0451F,X0451C,X0451D,X0451E,P0455,X0451B
2014-11-21 11:43:00,T0450A,T0451A,T0453,T0458,T0459,T0460,T0451,X0451B,X0451A,X0451F,X0451C,T0452A,P0455,X0451E,X0451D
2014-11-21 11:44:00,T0450A,T0451A,T0453,T0458,T0459,T0460,T0451,X0451B,X0451A,X0451F,X0451C,T0452A,P0455,X0451E,X0451D
2014-11-21 11:45:00,T0450A,T0451,T0460,T0451A,T0453,T0458,T0459,X0451A,X0451B,T0452A,X0451C,X0451F,P0455,X0451E,X0451D
2014-11-21 11:46:00,T0450A,T0451A,T0453,T0451,X0451A,X0451B,X0451F,T0460,T0458,P0455,T0452A,X0451C,T0459,X0451E,X0451D
2014-11-21 11:47:00,T0450A,T0451A,T0453,T0451,X0451A,X0451B,X0451F,T0460,T0458,P0455,T0452A,X0451C,T0459,X0451E,X0451D
2014-11-21 11:48:00,T0451,T0459,T0450A,T0451A,T0458,T0460,X0451B,T0452A,T0453,P0455,X0451D,X0451F,X0451E,X0451C,X0451A
2014-11-21 11:49:00,T0451,T0459,T0450A,T0451A,T0458,T0460,X0451B,T0452A,T0453,P0455,X0451D,X0451F,X0451E,X0451C,X0451A
2014-11-21 11:50:00,T0451,T0459,T0450A,T0451A,T0458,T0460,X0451B,T0452A,T0453,P0455,X0451D,X0451F,X0451E,X0451C,X0451A
2014-11-21 11:51:00,T0450A,T0451A,T0451,T0453,T0460,T0458,X0451A,X0451B,T0459,X0451F,X0451C,X0451E,P0455,T0452A,X0451D
2014-11-21 11:52:00,T0450A,T0451,T0459,T0458,T0460,T0451A,T0453,T0452A,X0451B,X0451A,X0451D,P0455,X0451E,X0451F,X0451C
2014-11-21 11:53:00,T0450A,T0451,T0459,T0458,T0460,T0451A,T0453,T0452A,X0451B,X0451A,X0451D,P0455,X0451E,X0451F,X0451C
2014-11-21 11:54:00,T0451A,T0451,T0459,T0458,T0460,X0451B,T0453,T0450A,T0452A,X0451F,X0451A,P0455,X0451C,X0451D,X0451E
2014-11-21 11:55:00,T0451A,T0451,T0459,T0458,T0460,X0451B,T0453,T0450A,T0452A,X0451F,X0451A,P0455,X0451C,X0451D,X0451E
2014-11-21 11:56:00,T0450A,T0451A,T0453,T0451,T0458,X0451B,X0451A,T0460,X0451F,T0459,P0455,X0451C,T0452A,X0451E,X0451D
2014-11-21 11:57:00,T0450A,T0451A,T0453,T0451,T0458,X0451B,X0451A,T0460,X0451F,T0459,P0455,X0451C,T0452A,X0451E,X0451D
2014-11-21 11:58:00,T0450A,T0451A,T0453,T0459,T0460,X0451A,T0458,T0452A,X0451F,X0451B,P0455,X0451C,T0451,X0451E,X0451D
2014-11-21 11:59:00,T0450A,T0451A,T0453,T0459,T0460,X0451A,T0458,T0452A,X0451F,X0451B,P0455,X0451C,T0451,X0451E,X0451D
2014-11-21 12:00:00,T0450A,T0451A,T0453,T0459,T0460,X0451A,T0458,T0452A,X0451F,X0451B,P0455,X0451C,T0451,X0451E,X0451D
2014-11-21 12:01:00,T0450A,T0451A,T0453,T0460,T0451,X0451A,T0458,X0451B,X0451F,X0451C,P0455,T0452A,T0459,X0451E,X0451D
2014-11-21 12:02:00,T0450A,T0459,T0451,T0458,T0460,T0451A,T0452A,T0453,X0451B,X0451D,X0451A,X0451E,X0451F,P0455,X0451C
2014-11-21 12:03:00,T0450A,T0459,T0451,T0458,T0460,T0451A,T0452A,T0453,X0451B,X0451D,X0451A,X0451E,X0451F,P0455,X0451C
2014-11-21 12:04:00,T0459,T0458,T0451,T0450A,T0451A,T0460,T0452A,X0451B,T0453,X0451D,P0455,X0451E,X0451A,X0451C,X0451F
2014-11-21 12:05:00,T0459,T0458,T0451,T0450A,T0451A,T0460,T0452A,X0451B,T0453,X0451D,P0455,X0451E,X0451A,X0451C,X0451F
2014-11-21 12:06:00,T0450A,T0451A,T0459,T0451,T0458,T0453,T0460,T0452A,X0451A,X0451F,P0455,X0451C,X0451D,X0451E,X0451B
2014-11-21 12:07:00,T0450A,T0451A,T0459,T0451,T0458,T0453,T0460,T0452A,X0451A,X0451F,P0455,X0451C,X0451D,X0451E,X0451B
