LPCOutletTemp,HPCOutletTemp,LPTOutletTemp,TotalHPCOutletPres,PhysFanSpeed,PhysCoreSpeed,StaticHPCOutletPres,FuelFlowRatio,CorrFanSpeed,CorrCoreSpeed,BypassRatio,BleedEnthalpy,HPTCoolantBleed,LPTCoolantBleed
642.114,1585.412,1392.852,554.4,2388.004,9051.906,47.15,522.52,2388.012,8138.52,8.40272,391.2,38.998,23.42866
642.128,1584.852,1393.394,554.422,2388.008,9052.532,47.146,522.484,2388.014,8139.422,8.39854,391,39.006,23.39558
642.172,1584.082,1393.84,554.482,2387.998,9051.466,47.15,522.45,2388.012,8138.74,8.40072,391.2,38.994,23.41452
642.062,1584.776,1393.216,554.454,2388.002,9053.174,47.16,522.464,2388.018,8138.73,8.38854,391,39.028,23.39616
641.99,1582.846,1395.84,554.47,2388.01,9052.77,47.146,522.42,2388.006,8138.622,8.3867,391.2,39.058,23.42724
641.968,1583.008,1396.276,554.664,2388.018,9054.06,47.13,522.412,2388.004,8138.552,8.382,391.2,39.032,23.40996
642.066,1583.106,1397.432,554.528,2388.018,9052.606,47.156,522.464,2387.994,8137.196,8.38264,391.4,38.988,23.42488
642.018,1584.832,1397.832,554.45,2388.016,9052.146,47.11,522.426,2387.986,8136.904,8.37928,391.6,38.996,23.4274
642.092,1583.546,1398.39,554.548,2388.008,9050.646,47.098,522.374,2387.984,8136.674,8.37848,391.6,38.938,23.41526
642.142,1584.23,1398.21,554.484,2388.014,9048.184,47.108,522.372,2387.994,8137.126,8.3817,391.8,38.966,23.38918
642.198,1585.092,1397.298,554.382,2388.018,9047.858,47.12,522.46,2387.998,8137.092,8.39574,392,38.98,23.40318
642.076,1585.956,1396.626,554.552,2388.016,9048.83,47.1,522.406,2388.008,8137.66,8.39004,392.2,39.008,23.39518
641.994,1584.726,1397.572,554.542,2388.014,9049.706,47.108,522.392,2388.016,8138.346,8.39658,392.2,39.012,23.3922
641.972,1585.132,1397.63,554.522,2388.022,9050.762,47.136,522.4,2388.018,8139.332,8.40006,392.4,39.058,23.39528
642.024,1586.194,1396.784,554.628,2388.008,9053.79,47.14,522.398,2388.016,8139.564,8.39728,392,39.062,23.41392
641.94,1585.728,1397.406,554.508,2388,9053.038,47.15,522.344,2388.022,8139.506,8.38968,391.8,39.07,23.40422
641.994,1583.898,1397.78,554.514,2388,9052.702,47.172,522.274,2388.018,8139.614,8.4015,391.6,39.046,23.40526
642.092,1584.594,1397.042,554.582,2388,9051.566,47.194,522.16,2388.014,8138.898,8.39524,391.8,39.05,23.43452
642.19,1586.464,1397.118,554.564,2387.994,9050.392,47.166,522.216,2388.01,8138.25,8.398,391.8,39,23.4459
642.132,1585.384,1396.64,554.652,2388.008,9051.238,47.21,522.33,2388.006,8138.402,8.396,391.8,38.994,23.43964
642.308,1584.824,1398.612,554.872,2388.014,9053.88,47.19,522.254,2387.988,8138.372,8.3995,391.6,38.996,23.4451
642.376,1586.692,1397.292,554.982,2388.024,9056.79,47.18,522.336,2387.994,8138.414,8.39622,391.8,39.03,23.4527
642.354,1585.426,1397.21,554.756,2388.036,9058.608,47.19,522.436,2387.99,8137.154,8.40626,391.6,38.984,23.41008
642.23,1584.684,1396.552,554.844,2388.032,9061.62,47.18,522.448,2387.992,8136.398,8.40342,391.4,39.096,23.40658
642.124,1584.526,1397.176,554.944,2388.026,9060.328,47.116,522.162,2388,8137.02,8.4079,391.4,39.112,23.41798
641.952,1585.782,1396.28,554.792,2388.028,9058.438,47.152,522.252,2388.008,8136.992,8.39842,391.2,39.094,23.41594
641.896,1585.006,1397.432,554.702,2388.016,9057.518,47.142,522.29,2387.998,8137.442,8.40086,391,39.072,23.43328
641.83,1585.798,1396.554,554.89,2388.014,9056.482,47.122,522.258,2388.008,8138.576,8.39286,390.8,39.078,23.44462
641.992,1585.224,1397.35,554.812,2388.012,9055.338,47.128,522.264,2388.022,8140.102,8.39232,391,39.018,23.445
642.202,1585.04,1397.504,554.57,2388.01,9054.03,47.186,522.442,2388.028,8138.84,8.39696,390.8,38.98,23.4546
642.222,1584.624,1396.928,554.514,2388.006,9054.03,47.126,522.502,2388.034,8139.35,8.40442,391.2,38.966,23.46288
642.074,1583.512,1396.514,554.444,2388.008,9053.094,47.136,522.37,2388.04,8139.054,8.39562,391.4,38.976,23.43726
642.1,1581.322,1397.686,554.358,2388,9052.806,47.156,522.294,2388.03,8139.412,8.3925,391.6,39.018,23.45676
642.03,1582.71,1397.944,554.456,2388.008,9052.194,47.182,522.346,2388.022,8139.394,8.39948,391.2,39.018,23.43724
642.082,1583.616,1396.596,554.566,2388.012,9052.518,47.14,522.434,2388.012,8138.314,8.402,391.2,39.04,23.42994
642.106,1583.168,1395.428,554.572,2388.026,9053.864,47.168,522.368,2388.01,8137.102,8.4013,391,39.11,23.42952
642.142,1584.998,1394.834,554.61,2388.022,9054.798,47.184,522.406,2388.016,8136.658,8.40666,391,39.116,23.442
642.044,1585.774,1394.772,554.694,2388.03,9055.336,47.168,522.524,2388.016,8136.614,8.41426,391,39.118,23.43158
642.138,1582.014,1395.572,554.47,2388.04,9056.292,47.13,522.466,2388.012,8136.518,8.40512,391,39.108,23.46038
642.01,1580.768,1397.276,554.362,2388.034,9055.794,47.144,522.356,2388.014,8136.062,8.39918,391.2,39.102,23.45826
641.992,1580.212,1398.16,554.466,2388.022,9054.542,47.156,522.386,2388.022,8136.488,8.39918,391.2,39.028,23.47146
642.07,1579.772,1399.15,554.578,2388.022,9054.22,47.146,522.47,2388.014,8136.626,8.40266,391.4,39.004,23.46854
642.19,1579.398,1398.328,554.432,2388.026,9054.966,47.14,522.456,2388.016,8137.82,8.39506,391,38.96,23.47456
642.05,1581.95,1398.362,554.56,2388.01,9054.532,47.13,522.496,2388.014,8137.292,8.39344,391.2,38.952,23.45068
642.07,1582.016,1398.156,554.684,2388.002,9055.648,47.142,522.55,2388.006,8138.384,8.39452,391.4,38.934,23.4395
642.038,1583.038,1398.62,554.628,2388,9055.99,47.092,522.418,2388.002,8139.202,8.39466,391.6,38.976,23.39178
642.072,1581.808,1398.112,554.528,2388.012,9055.082,47.104,522.296,2388,8137.904,8.38878,391.4,38.986,23.40088
642.008,1583.99,1399.548,554.574,2387.998,9053.91,47.126,522.316,2388.008,8137.258,8.39766,391.8,39.006,23.38064
641.966,1585.328,1398.624,554.612,2388,9052.916,47.19,522.17,2388.012,8137.71,8.40948,391.8,39.006,23.39982
641.886,1585.994,1399.498,554.546,2388.01,9052.446,47.162,522.1,2388.024,8139.16,8.40924,392,39.012,23.4161
641.864,1584.514,1399.152,554.352,2388.01,9053.322,47.208,522.214,2388.03,8138.572,8.40916,391.6,39.026,23.4415
641.866,1585.506,1399.378,554.466,2388.002,9053.218,47.234,522.374,2388.036,8140.268,8.40732,391.4,39.038,23.44018
641.878,1585.004,1399.308,554.428,2388.006,9053.918,47.27,522.304,2388.022,8138.972,8.38864,391.2,39.042,23.46792
641.956,1583.402,1399.516,554.322,2388,9056.012,47.218,522.26,2388.03,8138.14,8.38756,391.2,39.046,23.4739
642.048,1585.082,1399.166,554.19,2388,9057.28,47.234,522.262,2388.03,8137.096,8.38708,391,39.034,23.45012
642.104,1586.288,1399.824,554.376,2388.018,9056.864,47.228,522.084,2388.004,8137.454,8.38658,391.2,39.026,23.44408
642.118,1585.362,1399.058,554.204,2388.022,9057.64,47.194,522.01,2387.996,8138.178,8.38402,391.2,39.016,23.4382
642.258,1585.052,1398.924,554.22,2388.03,9058.176,47.14,522.014,2388.008,8139.224,8.40194,391.4,39.046,23.4125
642.136,1585.528,1398.652,554.22,2388.04,9056.652,47.154,522.044,2387.998,8140.86,8.39544,391.8,39.026,23.38944
642.11,1584.688,1398.154,554.326,2388.048,9056.53,47.15,522.084,2387.988,8141.014,8.38916,391.2,39.034,23.39202
